video	Person	257	83	265	393
video	PC	349	55	74	125
video	Auto	273	185	215	207
video	100	Auto	241	186	249	267
video	100	PC	322	45	124	144
video	100	Computer	504	124	114	232
video	100	Computer	414	308	122	113
video	200	Computer	200	38	133	106
video	200	Standalone	727	46	61	118
video	100		361	171	139	208
video	100		398	299	148	189
video	200		529	357	101	152
video	100	Auto	284	169	276	314
video	100	Auto	235	152	257	278
video	100	Auto	586	133	112	245
video	100	Auto	519	130	178	295
video	100	Auto	29	57	132	260
video	100	Auto	399	232	154	225
