video	Person	257	83	265	393
video	PC	349	55	74	125
video	Auto	273	185	215	207
video	100	Auto	241	186	249	267
video	100	PC	322	45	124	144
video	100	Computer	504	124	114	232
video	100	Computer	414	308	122	113
video	200	Computer	200	38	133	106
video	200	Standalone	727	46	61	118
video	100		361	171	139	208
video	100		398	299	148	189
video	200		529	357	101	152
video	100	Auto	284	169	276	314
video	100	Auto	235	152	257	278
video	100	Auto	586	133	112	245
video	100	Auto	519	130	178	295
video	100	Auto	29	57	132	260
video	100	Auto	399	232	154	225
exp10ms	10	Traffic light	204	172	330	498
exp10ms	10	Traffic light	222	258	272	311
exp10ms	20	Traffic light	230	237	329	429
exp10ms	30	Traffic light	187	233	389	422
exp10ms	40	Traffic light	159	159	418	504
exp10ms	50	Traffic light	193	204	380	419
exp10ms	60	Traffic light	174	191	442	456
exp10ms	70	Traffic light	148	189	379	443
exp10ms	80	Traffic light	206	152	327	553
exp10ms	90	Traffic light	194	193	338	435
exp10ms	100	Traffic light	0	0	0	0
exp10ms	10	PC	405	153	282	382
exp10ms	10	None	392	494	43	136
exp10ms	10	None	413	209	239	418
exp10ms	20	None	0	0	0	0
exp10ms	100	None	192	176	435	489
exp10ms	10	Computer	157	199	406	374
exp10ms	10	Computer	186	144	499	513
exp10ms	20	Computer	253	262	486	463
exp10ms	30	Computer	523	182	292	336
exp10ms	40	Computer	257	139	308	549
exp10ms	50	Computer	0	0	0	0
exp10ms	60	Computer	0	0	0	0
